audit_id,role,nct_id,registry_link,endpoint_title,extracted_responders,extracted_denominator,human_strict_orr,human_actual_endpoint_type,auditor_notes
R4-11,query,NCT03636503,https://clinicaltrials.gov/study/NCT03636503,Number of Participants With Complete Response Per Lugano Criteria,0,6,no,CR only (Lugano),Complete response per Lugano 2014 only; no PR component.
R4-12,query,NCT02968563,https://clinicaltrials.gov/study/NCT02968563,"Rate of Complete Response/Complete Remission (CR), as Assessed by Investigator Using Modified International Workshop on Chronic Lymphocytic Leukemia (IWCLL) 2008 Criteria at Week 25",0,5,no,CR+CRi (hematologic composite),"Rate of CR/CRi per modified iwCLL 2008 at Week 25 - CR-variant composite (no PR), landmark timepoint."
R4-13,query,NCT01731951,https://clinicaltrials.gov/study/NCT01731951,MF Participants: Percentage of Participants With Overall Response (OR) - (Clinical Improvement[CI] or Partial Remission[PR] or Complete Remission[CR]) Per International Working Group - Myeloproliferative Neoplasms Research and Treatment (IWG-MRT) Criteria,7,19,no,CR+PR+CI (IWG-MRT),Myelofibrosis overall response includes Clinical Improvement (anemia/spleen/symptom response) in addition to CR/PR - broader than CR+PR.
R4-14,component,NCT04439136,https://clinicaltrials.gov/study/NCT04439136,Objective Response Rate (ORR),1.0,37.0,yes,ORR (CR+PR; RECIST 1.1 / Cheson 2014 / RANO by histology),BOR of CR or PR among eligible+treated; criteria set depends on tumor type (solid/lymphoma/GBM) but response is strictly CR+PR.
R4-15,component,NCT03456700,https://clinicaltrials.gov/study/NCT03456700,Number of Participants With a Confirmed Tumor Response (Partial Response [PR] or Complete Response [CR] at Least 4 Weeks Apart),0.0,21.0,yes,"ORR (confirmed CR+PR, RECIST 1.1)",Confirmed tumor response (PR or CR >=4 weeks apart) per RECIST 1.1.
R4-16,query,NCT02421354,https://clinicaltrials.gov/study/NCT02421354,"Objective Response Rate, Defined as Complete Remission + Partial Remission + Clinical Improvement",0,8,no,CR+PR+CI (IWG-MRT/ELN),"Title itself defines 'ORR' as CR + PR + Clinical Improvement per IWG-MRT/ELN myelofibrosis criteria - includes CI, broader than CR+PR."
R4-17,query,NCT02078960,https://clinicaltrials.gov/study/NCT02078960,Number of Participants Who Achieved a Major Response at Any Time During Treatment,0,2,no,major cytogenetic/hematologic response (CML),"Major response = MCyR (complete/partial cytogenetic response) or MaHR for AP-CML - cytogenetic/hematologic, and 'major response' category is excluded."
R4-18,query,NCT01284348,https://clinicaltrials.gov/study/NCT01284348,Number of Participants Who Experienced a Hematopoietic Response,2,14,no,hematopoietic (hemoglobin) response,"Hgb increase >=1.0 g/dL for 4 weeks without transfusion/ESA - anemia endpoint, not tumor response at all."
R4-19,component,NCT03860844,https://clinicaltrials.gov/study/NCT03860844,Percentage of Participants With Complete Response (CR) Rate,13.0,25.0,no,CR+CRi (hematologic composite),"CR rate defined as CR + CRi per NCCN criteria (ALL/AML) - composite of CR variants, no PR."
R4-20,component,NCT03113500,https://clinicaltrials.gov/study/NCT03113500,"Complete Response (CR) Rate After Cyclophosphamide, Doxorubicin, Etoposide, Prednisone, and Brentuximab Vedotin (CHEP-BV) Induction Therapy",37.0,47.0,no,CR only,"CR rate after CHEP-BV induction; CR-only, no PR component."
R4-21,query,NCT04298983,https://clinicaltrials.gov/study/NCT04298983,Clinical Response Rates,2,2,no,PSA response (nadir <0.5 ng/mL),"'Clinical response' = achieving PSA nadir <0.5 ng/mL - biochemical marker response, not objective tumor response. Also 2/2 after early termination (9 enrolled)."
R4-22,component,NCT05177770,https://clinicaltrials.gov/study/NCT05177770,Number of Participants With Response,0.0,15.0,no,PSA50 and/or radiographic CR+PR (PCWG3),"Composite: PSA decline >=50% AND/OR radiographic CR/PR per PCWG3; PSA-only responders count, so not strict ORR."
R4-23,component,NCT03662659,https://clinicaltrials.gov/study/NCT03662659,BICR-Assessed Objective Response Rate (ORR) in Randomized LAG-3 Positive (>=1 %) Participants,47.0,97.0,yes,"ORR (confirmed CR+PR, RECIST 1.1, BICR)","Confirmed BOR of CR or PR / randomized LAG-3-positive participants, RECIST 1.1."
R4-24,component,NCT03939689,https://clinicaltrials.gov/study/NCT03939689,PSA Response Rate,10.0,39.0,no,"PSA response (PCWG3, >=50% decline)",PSA >=50% decline confirmed >=3 weeks later - biochemical response.
R4-25,query,NCT01720225,https://clinicaltrials.gov/study/NCT01720225,Participants With a Response,49,70,no,CR+PR+mCR+HI (MDS composite),"Overall response = CR + PR + marrow CR + hematologic improvement - composite including HI and marrow-only CR, broader than CR+PR."
R4-26,component,NCT02265341,https://clinicaltrials.gov/study/NCT02265341,"Clinical Benefit Rate (Percentage), Which Includes Confirmed Tumor Response (Complete Response [CR] or Partial Response [PR]) or Stable Disease (SD)",5.0,11.0,no,CBR (CR+PR+SD),Clinical benefit rate explicitly includes SD >=4 cycles alongside confirmed CR/PR.
R4-27,query,NCT00090987,https://clinicaltrials.gov/study/NCT00090987,Proportion of Patients Who Achieve a Clinical Response,10,30,yes,"ORR (CR+PR, ACTG Kaposi-sarcoma-type criteria)","Clinical response = CR or PR by objective lesion criteria (lesion count/flattening/50% decrease in sum of products of perpendicular diameters) - disease-appropriate objective CR+PR standard (KS-type), analogous to WHO bidimensional criteria."
R4-28,component,NCT02581137,https://clinicaltrials.gov/study/NCT02581137,Clinical Response to Metformin Intervention,4.0,23.0,yes,CR+PR of premalignant oral lesions (WHO-style bidimensional),"CR = disappearance of lesions; PR = >=50% reduction in sum of products of diameters - objective CR+PR by WHO-style measurement, but on premalignant lesions (oral leukoplakia/erythroplakia chemoprevention), not malignant-tumor ORR; flag if pool is restricted to cancer ORR."
R4-29,query,NCT02264613,https://clinicaltrials.gov/study/NCT02264613,Determine Overall Response Rate,2,21,yes,ORR (CR+PR; RECIST 1.1/iRECIST or RANO),"CR or PR per investigator, RECIST 1.1 or iRECIST (solid tumors) / RANO (GBM); strictly CR+PR."
R4-30,component,NCT03698994,https://clinicaltrials.gov/study/NCT03698994,Objective Response Rate (ORR = Complete Response [CR] + Partial Response [PR]) in Pediatric Patients Treated With BVD-523FB (Ulixertinib),0.0,20.0,yes,"ORR (CR+PR, RECIST 1.1)",ORR = CR + PR per RECIST 1.1 in evaluable pediatric patients.
R4-31,query,NCT01920932,https://clinicaltrials.gov/study/NCT01920932,Percentage of Initially Enrolled Patients That Have a Complete Response at Early Response Assessment Compared to Historical Control,10,32,no,"CR only (early response, landmark)",CR rate at early response assessment (after 2 cycles) vs historical control - CR-only at a landmark.
R4-32,component,NCT02674061,https://clinicaltrials.gov/study/NCT02674061,Objective Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) by Blinded Independent Central Review (BICR) in All Cohort A and Cohort B Participants,23.0,285.0,yes,"ORR (CR+PR, RECIST 1.1, BICR)",CR or PR per RECIST 1.1 by BICR.
R4-33,component,NCT02470091,https://clinicaltrials.gov/study/NCT02470091,Response Evaluation Criteria in Solid Tumors (RECIST) Response (Complete Response [CR] or Partial Response [PR] vs Not CR or PR) (Cohort I),0.0,15.0,yes,"ORR (CR+PR, RECIST 1.0) at 4 months","OR = CR + PR per RECIST; assessed at 4 months, i.e. objective response rate at that timepoint (allowed per criteria)."
R4-34,query,NCT01897571,https://clinicaltrials.gov/study/NCT01897571,Objective Response Rate (ORR; Complete Response + Partial Response [CR + PR]) (Phase 2),34,48,yes,"ORR (confirmed CR+PR, RECIST 1.1)",Confirmed CR or PR / analysis population.
R4-35,component,NCT03253679,https://clinicaltrials.gov/study/NCT03253679,Objective Response Rate (ORR),8.0,30.0,yes,"ORR (CR+PR, RECIST 1.1)",CR or PR per RECIST 1.1.
R4-36,query,NCT03413995,https://clinicaltrials.gov/study/NCT03413995,Number of Participants With Prostate Specific Antigen (PSA) >=50 Response,5,12,no,PSA50 response,"PSA decline to 50% of baseline, confirmed >=4 weeks - biochemical response."
R4-37,query,NCT04761198,https://clinicaltrials.gov/study/NCT04761198,Objective Response Rate (ORR) as Assessed Based on Response Evaluation Criteria in Solid Tumours Version 1.1 (RECIST v1.1),2,10,yes,"ORR (confirmed CR+PR, RECIST 1.1)",BOR of confirmed CR or PR per RECIST v1.1.
R4-38,component,NCT03417739,https://clinicaltrials.gov/study/NCT03417739,Overall Response Rate,0.0,13.0,yes,"ORR (CR+PR, RECIST 1.1)",CR or PR per RECIST 1.1 on treatment.
R4-39,query,NCT04085367,https://clinicaltrials.gov/study/NCT04085367,Percentage of Participants With Complete Response at Week 12,92,364,no,"CR only (actinic keratosis lesion clearance, landmark)","Complete clearance of all treated AK lesions at week 12 - CR-only, premalignant dermatology endpoint at a landmark."
R4-40,query,NCT02078752,https://clinicaltrials.gov/study/NCT02078752,Percentage of Participants With Objective Response (Part 2),1,12,yes,"ORR (CR+PR, RECIST 1.1)",CR or PR per RECIST v1.1 with full CR/PR definitions in description.
R4-41,query,NCT02272790,https://clinicaltrials.gov/study/NCT02272790,Objective Response Rate (ORR),1,9,yes,"ORR (CR+PR, RECIST 1.1)",Complete or partial tumour response per RECIST v1.1.
R4-42,query,NCT03778229,https://clinicaltrials.gov/study/NCT03778229,Objective Response Rate (ORR) by Investigator Assessment; Target Population Analysis Set,45,80,yes,"ORR (confirmed CR+PR, RECIST 1.1)","Confirmed OR (CR or PR), confirmation >=4 weeks, RECIST 1.1."
R4-43,component,NCT02601313,https://clinicaltrials.gov/study/NCT02601313,Percentage of Participants With Objective Response (OR) Per the Lugano Classification According to Independent Radiology Review Committee (IRRC) in Cohort 1,62.0,68.0,yes,"ORR (CR+PR, Lugano 2014, IRRC)",OR = complete/partial metabolic or radiologic response (CMR/CRR/PMR/PRR) per Lugano - the lymphoma-standard CR+PR objective response.
R4-44,component,NCT02631577,https://clinicaltrials.gov/study/NCT02631577,"Percentage of Participants Achieving Complete Response (CR) at End of Induction (EOI), as Determined by the Independent Review Committee (IRC) Using Modified Lugano 2014 Criteria",23.0,32.0,no,"CR only (modified Lugano, landmark EOI)",CR at end of induction per modified Lugano by IRC - CR-only at a landmark.
R4-45,component,NCT03822468,https://clinicaltrials.gov/study/NCT03822468,Overall Response Rate (ORR),78.0,188.0,yes,"ORR (confirmed CR+PR, RECIST 1.1)","BOR of confirmed CR or PR per RECIST 1.1, local investigator."
R4-46,query,NCT03601897,https://clinicaltrials.gov/study/NCT03601897,Objective Response Rate (ORR) (Part 2 Expansion),0,10,yes,"ORR (CR+PR, RECIST 1.1)",CR or PR per RECIST v1.1.
R4-47,component,NCT05513703,https://clinicaltrials.gov/study/NCT05513703,Objective Response Rate (ORR) as Assessed by an Independent Central Review (ICR),3.0,9.0,yes,"ORR (confirmed CR+PR, RECIST 1.1, ICR)",Confirmed CR or PR per RECIST 1.1 by independent central review.
R4-48,query,NCT03789240,https://clinicaltrials.gov/study/NCT03789240,Proportion of Participants Who Achieve Positron Emission Tomography (PET) - Negative Complete Response,16,33,no,"CR only (PET-negative, Lugano)",PET-negative complete response per Lugano 2014 - CR-only.
R4-49,query,NCT02054520,https://clinicaltrials.gov/study/NCT02054520,Clinical Response Rate,2,8,ambiguous,unspecified clinical response,Registry description gives no response criteria at all ('to estimate the clinical response rate ... after immunotherapy'); trial terminated early. Cannot determine whether CR+PR objective response was meant.
R4-50,component,NCT04524702,https://clinicaltrials.gov/study/NCT04524702,Assessment of Tumor Response to Combination of Paricalcitol and Hydroxychloroquine With Common Front-line Therapy.,3.0,7.0,yes,"ORR (CR+PR, RECIST 1.1)",Title is vague but description explicitly defines the measure as ORR = CR + PR per RECIST 1.1.
R4-51,component,NCT03781323,https://clinicaltrials.gov/study/NCT03781323,Proportion of Patients With a Complete Clinical Response.,3.0,11.0,no,clinical CR only (rectal exam/endoscopy),"Complete clinical response by digital rectal exam + sigmoidoscopy appearance (organ-preservation endpoint in rectal cancer) - cCR-only, non-RECIST clinical assessment."
R4-52,query,NCT02315768,https://clinicaltrials.gov/study/NCT02315768,Overall Response Rate of Ibrutinib in Combination With Obinutuzumab,32,32,yes,"ORR (CR+PR, iwCLL 2008)",Overall response per iwCLL 2008 (OR = CR + PR); description's RECIST boilerplate also states OR = CR + PR. Registry posts 32/32 (100%).
R4-53,component,NCT02100696,https://clinicaltrials.gov/study/NCT02100696,"Maintenance Phase: Percentage of Participants With Remission at Week 66 Among Participants Who Had Achieved a Clinical Response at Week 14, as Determined by the MCS",27.0,112.0,no,"clinical remission (ulcerative colitis, Mayo Clinic Score)",Non-oncology endpoint: UC remission at Week 66 by MCS subscores among Week-14 responders.
R4-54,query,NCT03390296,https://clinicaltrials.gov/study/NCT03390296,Number of Participants With a Response,0,4,no,CR+CRp+CRi (AML composite),"Response = CR + CRp + CRi within 3 months - CR-variant hematologic composite, no PR."
R4-55,component,NCT03644186,https://clinicaltrials.gov/study/NCT03644186,Pathological Complete Response (pCR),24.0,73.0,no,pCR,Absence of invasive tumor in breast and axillary nodes at surgery (ypT0/is ypN0).
R4-56,component,NCT03726879,https://clinicaltrials.gov/study/NCT03726879,Percentage of Participants With Pathological Complete Response (pCR) in the PD-L1-Positive Population (IC 1/2/3),70.0,109.0,no,pCR,"pCR (ypT0/is ypN0) after neoadjuvant therapy, PD-L1-positive population."
R4-57,component,NCT03112174,https://clinicaltrials.gov/study/NCT03112174,Complete Response (CR) Rate (Treatment-Naive Arm),54.0,78.0,no,CR only (Cheson 2014),"CR rate per Cheson 2014 - CR-only, no PR component."
R4-58,query,NCT02713373,https://clinicaltrials.gov/study/NCT02713373,"Number of Participants With a Response, Evaluated According to RECIST 1.1",1,44,yes,"ORR (CR+PR implied, RECIST 1.1)",Description does not enumerate CR/PR but 'response evaluated according to RECIST 1.1' conventionally means objective response = CR or PR; no broader categories mentioned.
R4-59,query,NCT02382406,https://clinicaltrials.gov/study/NCT02382406,Phase II: Objective Response Rate,16,32,yes,"ORR (CR+PR, RECIST)",Objective response rate per RECIST; description states OR = CR + PR.
R4-60,query,NCT03474497,https://clinicaltrials.gov/study/NCT03474497,Abscopal Response Rate (ARR),2,14,no,"abscopal response (irRECIST, unirradiated sites only)","CR/PR restricted to unirradiated lesions using irRECIST - immune-related criteria variant (excluded) and lesion-subset-restricted, not standard ORR."
